train_id,train_number,seq_number,sttn_code,wtt_dprt_time,wtt_arvl_time,ptt_dprt_time,ptt_arvl_time,day_of_run,run_time,intr_dist,cum_dist,zone_code,dvsn_code,loco_change_point,loco_traction_change,block_section_speed,wtt_dprt_time_sec,wtt_arvl_time_sec,ptt_dprt_time_sec,ptt_arvl_time_sec
829917,12488,1,ANVT,08:10,00:00,08:10,00:00,"1,1,1,1,1,1,1",0.0,0.0,0.0,NR,DLI,,,100,29400,0,29400,0
829917,12488,3,GZB,08:41,08:39,08:39,08:37,"1,1,1,1,1,1,1",300.0,6.72,12.63,NR,DLI,,N,130,31260,31140,31140,31020
829917,12488,21,ALJN,09:47,09:45,09:42,09:40,"1,1,1,1,1,1,1",180.0,6.22,118.65,NCR,PRYJ,,N,130,35220,35100,34920,34800
829917,12488,32,TDL,11:07,11:05,10:52,10:50,"1,1,1,1,1,1,1",300.0,3.31,196.65,NCR,PRYJ,,N,130,40020,39900,39120,39000
829917,12488,62,CNB,14:30,14:20,14:15,14:10,"1,1,1,1,1,1,1",300.0,1.4,427.86,NCR,PRYJ,,N,130,52200,51600,51300,51000
829917,12488,92,PRYJ,17:00,16:55,17:00,16:55,"1,1,1,1,1,1,1",420.0,3.69,622.1,NCR,PRYJ,,N,130,61245,60945,61200,60900
829917,12488,104,MZP,18:22,18:20,18:17,18:15,"1,1,1,1,1,1,1",300.0,7.36,711.98,NCR,PRYJ,,N,130,66150,66030,65820,65700
829917,12488,114,DDU,20:00,19:53,19:55,19:48,"1,1,1,1,1,1,1",255.0,1.52,775.18,ECR,DDU,,N,130,72000,71580,71700,71280
829917,12488,126,DLN,20:47,20:45,20:40,20:38,"1,1,1,1,1,1,1",210.0,7.3,828.79,ECR,DNR,,N,130,74820,74700,74400,74280
829917,12488,163,DNR,23:02,22:52,22:52,22:50,"1,1,1,1,1,1,1",240.0,5.77,972.99,ECR,DNR,,N,50,82920,82320,82320,82200
829917,12488,164,PPTA,23:25,23:15,23:20,23:10,"1,1,1,1,1,1,1",480.0,5.9,978.89,ECR,DNR,,N,60,84300,83700,84000,83400
829917,12488,190,BJU,01:45,01:35,01:45,01:35,"1,1,1,1,1,1,1",300.0,2.81,1087.57,ECR,SEE,,N,110,92700,92100,92700,92100
829917,12488,195,BGS,02:05,02:03,02:03,02:01,"1,1,1,1,1,1,1",135.0,4.02,1102.92,ECR,SEE,,N,110,93900,93780,93780,93660
829917,12488,202,KGG,02:45,02:43,02:43,02:41,"1,1,1,1,1,1,1",240.0,7.0,1143.29,ECR,SEE,,N,110,96300,96180,96180,96060
829917,12488,213,NNA,03:42,03:40,03:40,03:38,"1,1,1,1,1,1,1",255.0,7.73,1210.12,ECR,SEE,,N,110,99720,99600,99600,99480
829917,12488,222,KIR,05:25,05:15,05:15,05:05,"1,1,1,1,1,1,1",420.0,11.4,1267.03,NFR,KIR,,N,110,105900,105300,105300,104700
829917,12488,226,PRNA,06:05,05:50,05:50,05:45,"1,1,1,1,1,1,1",240.0,6.84,1294.99,NFR,KIR,,N,110,108300,107400,107400,107100
829917,12488,232,ARQ,06:43,06:38,06:30,06:25,"1,1,1,1,1,1,1",300.0,7.72,1333.07,NFR,KIR,,N,110,110580,110280,109800,109500
829917,12488,233,ARR,06:52,06:50,06:42,06:40,"1,1,1,1,1,1,1",180.0,4.34,1337.41,NFR,KIR,,N,110,111120,111000,110520,110400
829917,12488,238,FBG,07:34,07:15,07:05,07:00,"1,1,1,1,1,1,1",240.0,5.51,1361.76,NFR,KIR,,N,110,113640,112500,111900,111600
829917,12488,240,JBN,00:00,08:00,00:00,08:00,"1,1,1,1,1,1,1",240.0,7.26,1375.04,NFR,KIR,,,0,0,115200,0,115200
