"train_id","train_number","seq_number","sttn_code","wtt_dprt_time","wtt_arvl_time","ptt_dprt_time","ptt_arvl_time","day_of_run","run_time","intr_dist","cum_dist","zone_code","dvsn_code","loco_change_point","loco_traction_change","block_section_speed","wtt_dprt_time_sec","wtt_arvl_time_sec","ptt_dprt_time_sec","ptt_arvl_time_sec"
829917,"12488",1,"ANVT","08:10","00:00","08:10","00:00","1,1,1,1,1,1,1","0.00","0.00","0.00","NR","DLI",NULL,"",100,29400,0,29400,0
829917,"12488",2,"SBB","08:29","08:29","00:00","00:00","1,1,1,1,1,1,1","780.00","5.91","5.91","NR","DLI",NULL,"N",130,30540,30540,0,0
829917,"12488",3,"GZB","08:41","08:39","08:39","08:37","1,1,1,1,1,1,1","300.00","6.72","12.63","NR","DLI",NULL,"N",130,31260,31140,31140,31020
829917,"12488",4,"CYZ","08:50","08:50","00:00","00:00","1,1,1,1,1,1,1","240.00","3.56","16.19","NR","DLI",NULL,"N",130,31800,31800,0,0
829917,"12488",5,"MIU","08:53","08:53","00:00","00:00","1,1,1,1,1,1,1","195.00","6.55","22.74","NCR","PRYJ",NULL,"N",130,31995,31995,0,0
829917,"12488",6,"DER","08:56","08:56","00:00","00:00","1,1,1,1,1,1,1","195.00","6.75","29.49","NCR","PRYJ",NULL,"N",130,32190,32190,0,0
829917,"12488",7,"BRKY","08:58","08:58","00:00","00:00","1,1,1,1,1,1,1","135.00","4.34","33.83","NCR","PRYJ",NULL,"N",130,32325,32325,0,0
829917,"12488",8,"AJR","09:01","09:01","00:00","00:00","1,1,1,1,1,1,1","150.00","4.89","38.72","NCR","PRYJ",NULL,"N",130,32475,32475,0,0
829917,"12488",9,"DKDE","09:05","09:05","00:00","00:00","1,1,1,1,1,1,1","240.00","8.44","47.16","NCR","PRYJ",NULL,"N",130,32715,32715,0,0
829917,"12488",10,"FPMP","09:07","09:07","00:00","00:00","1,1,1,1,1,1,1","135.00","4.57","51.73","NCR","PRYJ",NULL,"N",130,32850,32850,0,0
829917,"12488",11,"WAIR","09:09","09:09","00:00","00:00","1,1,1,1,1,1,1","105.00","3.89","55.62","NCR","PRYJ",NULL,"N",130,32955,32955,0,0
829917,"12488",12,"CHL","09:11","09:11","00:00","00:00","1,1,1,1,1,1,1","150.00","5.00","60.62","NCR","PRYJ",NULL,"N",130,33105,33105,0,0
829917,"12488",13,"GNRL","09:14","09:14","00:00","00:00","1,1,1,1,1,1,1","135.00","4.37","64.99","NCR","PRYJ",NULL,"N",130,33240,33240,0,0
829917,"12488",14,"SKQ","09:16","09:16","00:00","00:00","1,1,1,1,1,1,1","135.00","4.79","69.78","NCR","PRYJ",NULL,"N",130,33375,33375,0,0
829917,"12488",15,"KRJ","09:19","09:19","00:00","00:00","1,1,1,1,1,1,1","165.00","5.57","75.35","NCR","PRYJ",NULL,"N",130,33540,33540,0,0
829917,"12488",16,"KAMP","09:22","09:22","00:00","00:00","1,1,1,1,1,1,1","180.00","6.06","81.41","NCR","PRYJ",NULL,"N",130,33720,33720,0,0
829917,"12488",17,"DAR","09:24","09:24","00:00","00:00","1,1,1,1,1,1,1","150.00","4.93","86.34","NCR","PRYJ",NULL,"N",130,33870,33870,0,0
829917,"12488",18,"SOM","09:29","09:29","00:00","00:00","1,1,1,1,1,1,1","300.00","10.29","96.63","NCR","PRYJ",NULL,"N",130,34170,34170,0,0
829917,"12488",19,"KLA","09:34","09:34","00:00","00:00","1,1,1,1,1,1,1","285.00","10.14","106.77","NCR","PRYJ",NULL,"N",130,34455,34455,0,0
829917,"12488",20,"MWUE","09:37","09:37","00:00","00:00","1,1,1,1,1,1,1","165.00","5.66","112.43","NCR","PRYJ",NULL,"N",130,34620,34620,0,0
829917,"12488",21,"ALJN","09:47","09:45","09:42","09:40","1,1,1,1,1,1,1","180.00","6.22","118.65","NCR","PRYJ",NULL,"N",130,35220,35100,34920,34800
829917,"12488",22,"DAQ","09:54","09:54","00:00","00:00","1,1,1,1,1,1,1","240.00","7.06","125.71","NCR","PRYJ",NULL,"N",130,35640,35640,0,0
829917,"12488",23,"MXK","09:57","09:57","00:00","00:00","1,1,1,1,1,1,1","195.00","6.89","132.60","NCR","PRYJ",NULL,"N",130,35835,35835,0,0
829917,"12488",24,"SNS","10:00","10:00","00:00","00:00","1,1,1,1,1,1,1","210.00","7.29","139.89","NCR","PRYJ",NULL,"N",130,36045,36045,0,0
829917,"12488",25,"HRS","10:08","10:08","00:00","00:00","1,1,1,1,1,1,1","255.00","8.90","148.79","NCR","PRYJ",NULL,"N",130,36480,36480,0,0
829917,"12488",26,"PORA","10:16","10:16","00:00","00:00","1,1,1,1,1,1,1","300.00","10.55","159.34","NCR","PRYJ",NULL,"N",130,36960,36960,0,0
829917,"12488",27,"JLS","10:20","10:20","00:00","00:00","1,1,1,1,1,1,1","270.00","9.42","168.76","NCR","PRYJ",NULL,"N",130,37230,37230,0,0
829917,"12488",28,"CMR","10:23","10:23","00:00","00:00","1,1,1,1,1,1,1","195.00","6.45","175.21","NCR","PRYJ",NULL,"N",130,37425,37425,0,0
829917,"12488",29,"BRN","10:28","10:28","00:00","00:00","1,1,1,1,1,1,1","195.00","6.73","181.94","NCR","PRYJ",NULL,"N",130,37680,37680,0,0
829917,"12488",30,"MTI","10:32","10:32","00:00","00:00","1,1,1,1,1,1,1","240.00","8.10","190.04","NCR","PRYJ",NULL,"N",130,37920,37920,0,0
829917,"12488",31,"WSC","10:37","10:37","00:00","00:00","1,1,1,1,1,1,1","120.00","3.30","193.34","NCR","PRYJ",NULL,"N",130,38220,38220,0,0
829917,"12488",32,"TDL","11:07","11:05","10:52","10:50","1,1,1,1,1,1,1","300.00","3.31","196.65","NCR","PRYJ",NULL,"N",130,40020,39900,39120,39000
829917,"12488",33,"HNG","11:18","11:18","00:00","00:00","1,1,1,1,1,1,1","420.00","8.76","205.41","NCR","PRYJ",NULL,"N",130,40680,40680,0,0
829917,"12488",34,"FZD","11:26","11:26","00:00","00:00","1,1,1,1,1,1,1","225.00","7.73","213.14","NCR","PRYJ",NULL,"N",130,41160,41160,0,0
829917,"12488",35,"MNR","11:32","11:32","00:00","00:00","1,1,1,1,1,1,1","300.00","10.25","223.39","NCR","PRYJ",NULL,"N",130,41520,41520,0,0
829917,"12488",36,"SKB","11:36","11:36","00:00","00:00","1,1,1,1,1,1,1","285.00","9.75","233.14","NCR","PRYJ",NULL,"N",130,41805,41805,0,0
829917,"12488",37,"KAA","11:42","11:42","00:00","00:00","1,1,1,1,1,1,1","315.00","10.89","244.03","NCR","PRYJ",NULL,"N",130,42120,42120,0,0
